"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R00756"	"YGR240C;YMR205C"	" ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate"	"ATP:D-fructose-6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R03236"	"YGR240C;YMR205C"	" D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP"	"ATP:D-tagatose-6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R03237"	"YGR240C;YMR205C"	" CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate"	"CTP:D-tagatose 6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R03238"	"YGR240C;YMR205C"	" UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate"	"UTP:D-tagatose 6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R03239"	"YGR240C;YMR205C"	" ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate"	"ITP:D-tagatose 6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R04779"	"YGR240C;YMR205C"	" ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate"	"ATP:D-fructose-6-phosphate 1-phosphotransferase"	"K00850"	"path:map00010;path:map00030;path:map00051;path:map00052;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04152;path:map05230"	"sce00010  Glycolysis / Gluconeogenesis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04152  AMPK signaling pathway;sce05230  Central carbon metabolism in cancer"
"rn:R00432"	"YGR244C;YOR142W"	" GTP + Succinate + CoA <=> GDP + Orthophosphate + Succinyl-CoA"	"Succinate:CoA ligase (GDP-forming)"	"K01900"	"path:map00020;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00020  Citrate cycle (TCA cycle);sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00727"	"YGR244C;YOR142W"	" ITP + Succinate + CoA <=> IDP + Orthophosphate + Succinyl-CoA"	"Succinate:CoA ligase (IDP-forming)"	"K01900"	"path:map00020;path:map00640;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00020  Citrate cycle (TCA cycle);sce00640  Propanoate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00658"	"YGR254W;YHR174W;YMR323W;YOR393W;YPL281C"	" 2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O"	"2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)"	"K01689"	"path:map00010;path:map00680;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230;path:map03018;path:map04066"	"sce00010  Glycolysis / Gluconeogenesis;sce00680  Methane metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation;sce04066  HIF-1 signaling pathway"
"rn:R04982"	"YGR255C"	"2-Hexaprenyl-6-methoxyphenol + Oxygen <=> 2-Hexaprenyl-6-methoxy-1,4-benzoquinone + H2O"	"NONE"	"K06126"	"path:map00130;path:map01100;path:map01110"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R08773"	"YGR255C"	"2-Polyprenyl-6-methoxyphenol + Oxygen <=> 2-Polyprenyl-6-methoxy-1,4-benzoquinone + H2O"	"NONE"	"K06126"	"path:map00130;path:map01100;path:map01110"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R01528"	"YGR256W;YHR183W"	" 6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+"	"6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)"	"K00033"	"path:map00030;path:map00480;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00030  Pentose phosphate pathway;sce00480  Glutathione metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R10221"	"YGR256W;YHR183W"	" 6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+"	"6-phospho-D-gluconate:NAD+ 2-oxidoreductase (decarboxylating)"	"K00033"	"path:map00030;path:map00480;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200"	"sce00030  Pentose phosphate pathway;sce00480  Glutathione metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism"
"rn:R00428"	"YGR267C"	" GTP + H2O <=> Formamidopyrimidine nucleoside triphosphate"	"GTP 8,9-hydrolase"	"K01495"	"path:map00790;path:map01100"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways"
"rn:R04639"	"YGR267C"	" 7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine"	"2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase"	"K01495"	"path:map00790;path:map01100"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways"
"rn:R05046"	"YGR267C"	" Formamidopyrimidine nucleoside triphosphate + H2O <=> 2,5-Diaminopyrimidine nucleoside triphosphate + Formate"	"formamidopyrimidine nucleoside triphosphate amidohydrolase"	"K01495"	"path:map00790;path:map01100"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways"
"rn:R05048"	"YGR267C"	" 2,5-Diaminopyrimidine nucleoside triphosphate <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine"	"2,5-diaminopyrimidine nucleoside triphosphate mutase"	"K01495"	"path:map00790;path:map01100"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways"
"rn:R03035"	"YGR277C"	" ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA"	"ATP:pantetheine-4'-phosphate adenylyltransferase"	"K02201"	"path:map00770;path:map01100"	"sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways"
"rn:R01078"	"YGR286C"	" Dethiobiotin + Sulfur donor + 2 S-Adenosyl-L-methionine + 2 e- + 2 H+ <=> Biotin + 2 L-Methionine + 2 5'-Deoxyadenosine"	"dethiobiotin:sulfur sulfurtransferase"	"K01012"	"path:map00780;path:map01100"	"sce00780  Biotin metabolism;sce01100  Metabolic pathways"
"rn:R06517"	"YHL003C;YKL008C"	" Acyl-CoA + Sphinganine <=> CoA + Dihydroceramide"	"acyl-CoA:sphingosine N-acyltransferase"	"K04709"	"path:map00600;path:map01100"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways"
"rn:R06527"	"YHL003C;YKL008C"	" C26-CoA + Phytosphingosine <=> CoA + Phytoceramide"	"acyl-CoA: phytosphingosine N-acyltransferase"	"K04709"	"path:map00600;path:map01100"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways"
"rn:R00289"	"YHL012W;YKL035W"	" UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose"	"UTP:alpha-D-glucose-1-phosphate uridylyltransferase"	"K00963"	"path:map00040;path:map00052;path:map00500;path:map00520;path:map01100;path:map01130"	"sce00040  Pentose and glucuronate interconversions;sce00052  Galactose metabolism;sce00500  Starch and sucrose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics"
"rn:R04734"	"YHL018W"	" 4a-Hydroxytetrahydrobiopterin <=> Dihydrobiopterin + H2O"	"4a-hydroxytetrahydrobiopterin hydro-lyase"	"K01724"	"path:map00790;path:map01100"	"sce00790  Folate biosynthesis;sce01100  Metabolic pathways"
"rn:R00847"	"YHL032C"	" ATP + Glycerol <=> ADP + sn-Glycerol 3-phosphate"	"ATP:glycerol 3-phosphotransferase"	"K00864"	"path:map00561;path:map01100;path:map03320;path:map04626"	"sce00561  Glycerolipid metabolism;sce01100  Metabolic pathways;sce03320  PPAR signaling pathway;sce04626  Plant-pathogen interaction"
"rn:R05640"	"YHR007C"	" Lanosterol + 3 Oxygen + 3 NADPH + 3 H+ <=> 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + Formate + 3 NADP+ + 4 H2O"	"Lanosterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)"	"K05917"	"path:map00100;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R05731"	"YHR007C"	" Obtusifoliol + 3 Oxygen + 3 NADPH + 3 H+ <=> 4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + Formate + 3 NADP+ + 4 H2O"	"sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)"	"K05917"	"path:map00100;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R01086"	"YHR018C"	" N-(L-Arginino)succinate <=> Fumarate + L-Arginine"	"2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)"	"K01755"	"path:map00220;path:map00250;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00220  Arginine biosynthesis;sce00250  Alanine, aspartate and glutamate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R01771"	"YHR025W"	" ATP + L-Homoserine <=> ADP + O-Phospho-L-homoserine"	"ATP:L-homoserine O-phosphotransferase"	"K00872"	"path:map00260;path:map01100;path:map01110;path:map01120;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01230  Biosynthesis of amino acids"
"rn:R00245"	"YHR037W"	" L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+"	"L-glutamate gamma-semialdehyde:NAD+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R00707"	"YHR037W"	" (S)-1-Pyrroline-5-carboxylate + NAD+ + 2 H2O <=> L-Glutamate + NADH + H+"	"(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R00708"	"YHR037W"	" (S)-1-Pyrroline-5-carboxylate + NADP+ + 2 H2O <=> L-Glutamate + NADPH + H+"	"(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R04444"	"YHR037W"	" L-1-Pyrroline-3-hydroxy-5-carboxylate + NAD+ + 2 H2O <=> L-erythro-4-Hydroxyglutamate + NADH + H+"	"L-1-pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R04445"	"YHR037W"	" L-1-Pyrroline-3-hydroxy-5-carboxylate + NADP+ + 2 H2O <=> L-erythro-4-Hydroxyglutamate + NADPH + H+"	"L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R05051"	"YHR037W"	" L-erythro-4-Hydroxyglutamate + NADH + H+ <=> L-4-Hydroxyglutamate semialdehyde + NAD+ + H2O"	"L-erythro-4-Hydroxyglutamate:NAD+ oxidoreductase"	"K00294"	"path:map00250;path:map00330;path:map01100"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
"rn:R02472"	"YHR063C"	" (R)-Pantoate + NADP+ <=> 2-Dehydropantoate + NADPH + H+"	"(R)-Pantoate:NADP+ 2-oxidoreductase"	"K00077"	"path:map00770;path:map01100;path:map01110"	"sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R00597"	"YHR070W"	" S-Adenosyl-L-methionine + tRNA guanine <=> S-Adenosyl-L-homocysteine + tRNA containing N1-methylguanine"	"S-adenosyl-L-methionine:tRNA guanine N1-methyltransferase; S-adenosyl-L-methionine:tRNA (guanine-N1-)-methyltransferase"	"K15429"	NA	"NA  NA"
"rn:R03199"	"YHR072W"	" (S)-2,3-Epoxysqualene <=> Lanosterol"	"(S)-2,3-Epoxysqualene mutase (cyclizing, lanosterol-forming)"	"K01852"	"path:map00100;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R00257"	"YHR074W"	" ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate"	"Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)"	"K01950"	"path:map00760;path:map01100"	"sce00760  Nicotinate and nicotinamide metabolism;sce01100  Metabolic pathways"
"rn:R02029"	"YHR100C"	" Phosphatidylglycerophosphate + H2O <=> Phosphatidylglycerol + Orthophosphate"	"Phosphatidylglycerophosphate phosphohydrolase"	"K01094"	"path:map00564;path:map01100"	"sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways"
"rn:R01431"	"YHR104W"	" Xylitol + NADP+ <=> D-Xylose + NADPH + H+"	"xylitol:NADP+ oxidoreductase"	"K17743"	"path:map00040;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce01100  Metabolic pathways"
"rn:R09477"	"YHR104W"	" Xylitol + NAD+ <=> D-Xylose + NADH + H+"	"xylitol:NAD+ oxidoreductase"	"K17743"	"path:map00040;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce01100  Metabolic pathways"
"rn:R07459"	"YHR111W"	" Sulfur-carrier protein + ATP <=> Adenylyl-[sulfur-carrier protein] + Diphosphate"	"ATP:[sulfur-carrier protein] adenylyltransferase"	"K11996"	"path:map04122"	"sce04122  Sulfur relay system"
"rn:R07461"	"YHR111W"	" [Enzyme]-S-sulfanylcysteine + Adenylyl-[sulfur-carrier protein] + Reduced acceptor <=> AMP + Thiocarboxy-[sulfur-carrier protein] + [Enzyme]-cysteine + Acceptor"	"[enzyme]-S-sulfanyl-L-cysteine:adenylyl-[sulfur-carrier protein] sulfurtransferase"	"K11996"	"path:map04122"	"sce04122  Sulfur relay system"
"rn:R02057"	"YHR123W"	" CDP-ethanolamine + 1,2-Diacyl-sn-glycerol <=> CMP + Phosphatidylethanolamine"	"CDPethanolamine:1,2-diacylglycerol ethanolaminephosphotransferase"	"K00993"	"path:map00440;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00440  Phosphonate and phosphinate metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R04920"	"YHR123W"	" CMP-2-aminoethylphosphonate + 1,2-Diacyl-sn-glycerol <=> CMP + Diacylglyceryl-2-aminoethylphosphonate"	"CMP-2-aminoethylphosphonate:1,2-diacylglycerol (2-aminoethylphosphonyl)transferase"	"K00993"	"path:map00440;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00440  Phosphonate and phosphinate metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R06364"	"YHR123W"	" CDP-ethanolamine + 1-Alkyl-2-acylglycerol <=> CMP + 1-Alkyl-2-acylglycerophosphoethanolamine"	"CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase"	"K00993"	"path:map00440;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00440  Phosphonate and phosphinate metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R07384"	"YHR123W"	"O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine + CMP <=> 1-Alkenyl-2-acylglycerol + CDP-ethanolamine"	"NONE"	"K00993"	"path:map00440;path:map00564;path:map00565;path:map01100;path:map01110"	"sce00440  Phosphonate and phosphinate metabolism;sce00564  Glycerophospholipid metabolism;sce00565  Ether lipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R00966"	"YHR128W"	" UMP + Diphosphate <=> Uracil + 5-Phospho-alpha-D-ribose 1-diphosphate"	"UMP:diphosphate phospho-alpha-D-ribosyltransferase"	"K00761"	"path:map00240;path:map01100"	"sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways"
"rn:R00692"	"YHR137W"	" L-Phenylalanine + Pyruvate <=> Phenylpyruvate + L-Alanine"	"L-phenylalanine:pyruvate aminotransferase"	"K05821"	"path:map00350;path:map00360;path:map00400;path:map00960;path:map01100;path:map01110;path:map01130"	"sce00350  Tyrosine metabolism;sce00360  Phenylalanine metabolism;sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce00960  Tropane, piperidine and pyridine alkaloid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R09254"	"YHR137W"	" L-Tyrosine + Pyruvate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Alanine"	"L-tyrosine:pyruvate aminotransferase"	"K05821"	"path:map00350;path:map00360;path:map00400;path:map00960;path:map01100;path:map01110;path:map01130"	"sce00350  Tyrosine metabolism;sce00360  Phenylalanine metabolism;sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce00960  Tropane, piperidine and pyridine alkaloid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R01663"	"YHR144C"	" dCMP + H2O <=> dUMP + Ammonia"	"dCMP aminohydrolase"	"K01493"	"path:map00240;path:map01100"	"sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways"
"rn:R00282"	"YHR179W;YPL171C"	" Acceptor + NADPH + H+ <=> Reduced acceptor + NADP+"	"NADPH:acceptor oxidoreductase"	"K00354"	NA	"NA  NA"
"rn:R00702"	"YHR190W"	" 2 trans,trans-Farnesyl diphosphate <=> Diphosphate + Presqualene diphosphate"	"farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase"	"K00801"	"path:map00100;path:map00909;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce00909  Sesquiterpenoid and triterpenoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R02872"	"YHR190W"	" Presqualene diphosphate + NADPH + H+ <=> Diphosphate + Squalene + NADP+"	"presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming)"	"K00801"	"path:map00100;path:map00909;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce00909  Sesquiterpenoid and triterpenoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R06223"	"YHR190W"	" 2 trans,trans-Farnesyl diphosphate + NADPH + H+ <=> Squalene + 2 Diphosphate + NADP+"	"squalene synthase"	"K00801"	"path:map00100;path:map00909;path:map01100;path:map01110;path:map01130"	"sce00100  Steroid biosynthesis;sce00909  Sesquiterpenoid and triterpenoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R03409"	"YHR201C"	" Guanosine 3'-diphosphate 5'-triphosphate + H2O <=> Guanosine 3',5'-bis(diphosphate) + Orthophosphate"	"guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase"	"K01514"	"path:map00230"	"sce00230  Purine metabolism"
"rn:R01090"	"YHR208W;YJR148W"	" L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate"	"L-Leucine:2-oxoglutarate aminotransferase"	"K00826"	"path:map00270;path:map00280;path:map00290;path:map00770;path:map01100;path:map01110;path:map01130;path:map01210;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids"
"rn:R01214"	"YHR208W;YJR148W"	" L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate"	"L-Valine:2-oxoglutarate aminotransferase"	"K00826"	"path:map00270;path:map00280;path:map00290;path:map00770;path:map01100;path:map01110;path:map01130;path:map01210;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids"
"rn:R02199"	"YHR208W;YJR148W"	" L-Isoleucine + 2-Oxoglutarate <=> (S)-3-Methyl-2-oxopentanoic acid + L-Glutamate"	"L-Isoleucine:2-oxoglutarate aminotransferase"	"K00826"	"path:map00270;path:map00280;path:map00290;path:map00770;path:map01100;path:map01110;path:map01130;path:map01210;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids"
"rn:R10991"	"YHR208W;YJR148W"	" (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate"	"2-aminobutanoate:2-oxoglutarate aminotransferase"	"K00826"	"path:map00270;path:map00280;path:map00290;path:map00770;path:map01100;path:map01110;path:map01130;path:map01210;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids"
