mRNA	KO
YLR070C&XYL2&SGDID:S000004060,&Chr&XII&from&275211-274141,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"Xylitol&dehydrogenase;&converts&xylitol&to&D-xylulose;&expression&induced&by&xylose,&even&though&this&pentose&sugar&is&not&well&utilized&by&S.&cerevisiae;&null&mutant&has&cell&wall&defect"	lad_MNXR117337_saccharomyces_cerevisiae
YBR020W&GAL1&SGDID:S000000224,&Chr&II&from&279021-280607,&Genome&Release&64-2-1,&Verified&ORF,&"Galactokinase;&phosphorylates&alpha-D-galactose&to&alpha-D-galactose-1-phosphate&in&the&first&step&of&galactose&catabolism;&expression&regulated&by&Gal4p;&GAL1&has&a&paralog,&GAL3,&that&arose&from&the&whole&genome&duplication"	K00849_R01092_saccharomyces_cerevisiae
YBR018C&GAL7&SGDID:S000000222,&Chr&II&from&275527-274427,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"Galactose-1-phosphate&uridyl&transferase;&synthesizes&glucose-1-phosphate&and&UDP-galactose&from&UDP-D-glucose&and&alpha-D-galactose-1-phosphate&in&the&second&step&of&galactose&catabolism"	K00965_R00955_saccharomyces_cerevisiae
YBR019C&GAL10&SGDID:S000000223,&Chr&II&from&278352-276253,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"UDP-glucose-4-epimerase;&catalyzes&the&interconversion&of&UDP-galactose&and&UDP-D-glucose&in&galactose&metabolism;&also&catalyzes&the&conversion&of&alpha-D-glucose&or&alpha-D-galactose&to&their&beta-anomers"	K01784_R00291_saccharomyces_cerevisiae
YDR256C&CTA1&SGDID:S000002664,&Chr&IV&from&969680-968133,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"Catalase&A;&breaks&down&hydrogen&peroxide&in&the&peroxisomal&matrix&formed&by&acyl-CoA&oxidase&(Pox1p)&during&fatty&acid&beta-oxidation"	K03781_R00009_saccharomyces_cerevisiae
YDL168W&SFA1&SGDID:S000002327,&Chr&IV&from&159604-160764,&Genome&Release&64-2-1,&Verified&ORF,&"Bifunctional&alcohol&dehydrogenase&and&formaldehyde&dehydrogenase;&formaldehyde&dehydrogenase&activity&is&glutathione-dependent;&functions&in&formaldehyde&detoxification&and&formation&of&long&chain&and&complex&alcohols,&regulated&by&Hog1p-Sko1p;&protein&abundance&increases&in&response&to&DNA&replication&stress"	K00121_R06983_saccharomyces_cerevisiae
YJL068C&YJL068C&SGDID:S000003604,&Chr&X&from&313915-313016,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"Esterase&that&can&function&as&an&S-formylglutathione&hydrolase;&non-essential&intracellular&esterase;&may&be&involved&in&the&detoxification&of&formaldehyde,&which&can&be&metabolized&to&S-formylglutathione;&similar&to&human&esterase&D"	K01070_R00527_saccharomyces_cerevisiae
YOR388C&FDH1&SGDID:S000005915,&Chr&XV&from&1072923-1071793,&Genome&Release&64-2-1,&reverse&complement,&Verified&ORF,&"NAD(+)-dependent&formate&dehydrogenase;&may&protect&cells&from&exogenous&formate"	K00122_R00519_saccharomyces_cerevisiae
YIL162W&SUC2&SGDID:S000001424,&Chr&IX&from&37385-38983,&Genome&Release&64-2-1,&Verified&ORF,&"Invertase;&sucrose&hydrolyzing&enzyme;&a&secreted,&glycosylated&form&is&regulated&by&glucose&repression,&and&an&intracellular,&nonglycosylated&enzyme&is&produced&constitutively"	inu_MNXR115392_saccharomyces_cerevisiae
YFL053W&DAK2&SGDID:S000001841,&Chr&VI&from&23423-25198,&Genome&Release&64-2-1,&Verified&ORF,&"Dihydroxyacetone&kinase;&required&for&detoxification&of&dihydroxyacetone&(DHA);&involved&in&stress&adaptation"	YALI0F01606g_R11461_saccharomyces_cerevisiae
-processed-gene-1.17-mRNA-1_1&gene=snap_masked-gi|736520370|emb|CBXB010000044.1|-processed-gene-1.17&CDS=1-1059	lad_MNXR117337_saprochaete_clavata
-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|736520401|emb|CBXB010000024.1|-processed-gene-0.18&CDS=1-1869	K00849_R01092_saprochaete_clavata
-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|736520277|emb|CBXB010000119.1|-processed-gene-0.103&CDS=1-1047	K00965_R00955_saprochaete_clavata
-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-gi|736520371|emb|CBXB010000043.1|-processed-gene-0.153&CDS=1-1113	K01784_R00291_saprochaete_clavata
-processed-gene-0.119-mRNA-1_1&gene=snap_masked-gi|736520371|emb|CBXB010000043.1|-processed-gene-0.119&CDS=1-369	K01784_R00291_saprochaete_clavata
-processed-gene-0.120-mRNA-1_1&gene=snap_masked-gi|736520371|emb|CBXB010000043.1|-processed-gene-0.120&CDS=1-354	K01784_R00291_saprochaete_clavata
-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-gi|736520399|emb|CBXB010000025.1|-processed-gene-0.45&CDS=1-1137	K00121_R06983_saprochaete_clavata
-processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|736520399|emb|CBXB010000025.1|-processed-gene-0.27&CDS=1-186	K00121_R06983_saprochaete_clavata
-processed-gene-1.186-mRNA-1_1&gene=snap_masked-gi|736520387|emb|CBXB010000033.1|-processed-gene-1.186&CDS=1-885	K01070_R00527_saprochaete_clavata
-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-gi|736520376|emb|CBXB010000040.1|-processed-gene-2.130&CDS=1-1086	K00122_R00519_saprochaete_clavata
-processed-gene-2.65-mRNA-1_1&gene=snap_masked-gi|736520376|emb|CBXB010000040.1|-processed-gene-2.65&CDS=1-1161	K00122_R00519_saprochaete_clavata
-processed-gene-1.123-mRNA-1_1&gene=snap_masked-gi|736520378|emb|CBXB010000039.1|-processed-gene-1.123&CDS=1-1035	YALI0F01650p_MNXR121148_saprochaete_clavata
-processed-gene-0.122-mRNA-1_1&gene=snap_masked-gi|736520283|emb|CBXB010000113.1|-processed-gene-0.122&CDS=1-1917	YALI0F01606g_R11461_saprochaete_clavata
augustus_masked-LAME0A-processed-gene-6.261-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.261&CDS=1-1062	lad_MNXR117337_lachancea_meyersii
augustus_masked-LAME0A-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.110&CDS=1-1545	K00849_R01092_lachancea_meyersii
augustus_masked-LAME0A-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.127&CDS=1-1110	K00965_R00955_lachancea_meyersii
augustus_masked-LAME0A-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.128&CDS=1-2115	K01784_R00291_lachancea_meyersii
augustus_masked-LAME0H-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.117&CDS=1-1536	K03781_R00009_lachancea_meyersii
augustus_masked-LAME0B-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.152&CDS=1-1143	K00121_R06983_lachancea_meyersii
augustus_masked-LAME0F-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-18.14&CDS=1-906	K01070_R00527_lachancea_meyersii
augustus_masked-LAME0D-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-4.101&CDS=1-1830	inu_MNXR115392_lachancea_meyersii
augustus_masked-LAME0D-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-1.5&CDS=1-858	YALI0F01650p_MNXR121148_lachancea_meyersii
augustus_masked-LAME0E-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-8.37&CDS=1-1755	YALI0F01606g_R11461_lachancea_meyersii
augustus_masked-scaffold_1-processed-gene-19.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.34&CDS=1-1077	lad_MNXR117337_lipomyces_starkeyi
augustus_masked-scaffold_15-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-5.66&CDS=1-1611	K00849_R01092_lipomyces_starkeyi
augustus_masked-scaffold_15-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-5.91&CDS=1-1065	K01784_R00291_lipomyces_starkeyi
maker-scaffold_6-snap-gene-8.23-mRNA-1_1&gene=maker-scaffold_6-snap-gene-8.23&CDS=1-2775	K03781_R00009_lipomyces_starkeyi
augustus_masked-scaffold_5-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.47&CDS=1-1131	K00121_R06983_lipomyces_starkeyi
augustus_masked-scaffold_15-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-2.49&CDS=1-879	K01070_R00527_lipomyces_starkeyi
augustus_masked-scaffold_6-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-14.5&CDS=1-987	K18338_R03772_lipomyces_starkeyi
augustus_masked-scaffold_2-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.100&CDS=1-987	K18338_R03772_lipomyces_starkeyi
maker-scaffold_6-augustus-gene-14.113-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-14.113&CDS=1-1665	K12661_R03774_lipomyces_starkeyi
augustus_masked-scaffold_2-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.113&CDS=1-1569	K12661_R03774_lipomyces_starkeyi
augustus_masked-scaffold_1-processed-gene-18.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.10&CDS=1-1518	inu_MNXR115392_lipomyces_starkeyi
maker-scaffold_17-augustus-gene-3.201-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-3.201&CDS=1-1755	YALI0F01606g_R11461_lipomyces_starkeyi
augustus_masked-scaffold_16-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-3.56&CDS=1-1758	YALI0F01606g_R11461_lipomyces_starkeyi
augustus_masked-scaffold_4-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.21&CDS=1-492	K21911_R11333_lipomyces_starkeyi
augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.136&CDS=1-1131	lad_MNXR117337_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-4.38&CDS=1-1530	K00849_R01092_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-4.36&CDS=1-1149	K00965_R00955_yHMPu5000041863_candida_gorgasii
maker-NODE_1_length_1922578_cov_23.1432_ID_3408-snap-gene-4.1-mRNA-1_1&gene=maker-NODE_1_length_1922578_cov_23.1432_ID_3408-snap-gene-4.1&CDS=1-2970	K01784_R00291_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.64&CDS=1-1452	K03781_R00009_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-2.136&CDS=1-1137	K00121_R06983_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_8_length_450817_cov_29.9366_ID_1132-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_8_length_450817_cov_29.9366_ID_1132-processed-gene-2.80&CDS=1-840	K01070_R00527_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_13_length_171655_cov_19.3344_ID_2124-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_13_length_171655_cov_19.3344_ID_2124-processed-gene-0.18&CDS=1-1128	K00122_R00519_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.36&CDS=1-969	K18338_R03772_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.11&CDS=1-1257	K12661_R03774_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-3.159&CDS=1-858	YALI0F01650p_MNXR121148_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.115&CDS=1-1785	YALI0F01606g_R11461_yHMPu5000041863_candida_gorgasii
augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-2.116&CDS=1-462	K21911_R11333_yHMPu5000041863_candida_gorgasii
genemark-scaffold_6-processed-gene-4.141-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.141&CDS=1-1569	K00849_R01092_kazachstania_africana
genemark-scaffold_3-processed-gene-1.144-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.144&CDS=1-1098	K00965_R00955_kazachstania_africana
genemark-scaffold_6-processed-gene-4.115-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.115&CDS=1-2106	K01784_R00291_kazachstania_africana
genemark-scaffold_5-processed-gene-5.151-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.151&CDS=1-1533	K03781_R00009_kazachstania_africana
genemark-scaffold_2-processed-gene-1.115-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.115&CDS=1-1143	K00121_R06983_kazachstania_africana
genemark-scaffold_1-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.107&CDS=1-888	K01070_R00527_kazachstania_africana
maker-scaffold_9-augustus-gene-0.39-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-0.39&CDS=1-3369	YALI0F01606g_R11461_kazachstania_africana
augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.10&CDS=1-1068	larab_R01903_yHMPu5000035699_cyberlindnera_maclurae
maker-NODE_39_length_91062_cov_66.0146_ID_9270-augustus-gene-0.152-mRNA-1_1&gene=maker-NODE_39_length_91062_cov_66.0146_ID_9270-augustus-gene-0.152&CDS=1-5151	K03781_R00009_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.74&CDS=1-1146	K00121_R06983_yHMPu5000035699_cyberlindnera_maclurae
maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.104-mRNA-1_1&gene=maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.104&CDS=1-1116	K01070_R00527_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.134&CDS=1-1098	K00122_R00519_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_73_length_45021_cov_131.984_ID_40679-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_73_length_45021_cov_131.984_ID_40679-processed-gene-0.81&CDS=1-1599	inu_MNXR115392_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.33&CDS=1-825	YALI0F01650p_MNXR121148_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.32&CDS=1-1719	YALI0F01606g_R11461_yHMPu5000035699_cyberlindnera_maclurae
augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_11_length_409265_cov_25.2302_ID_21-processed-gene-3.61&CDS=1-1107	lad_MNXR117337_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-12.137-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-12.137&CDS=1-1497	K00849_R01092_yHMPu5000034974_deakozyma_indianensis
maker-NODE_13_length_396458_cov_24.2092_ID_25-augustus-gene-1.148-mRNA-1_1&gene=maker-NODE_13_length_396458_cov_24.2092_ID_25-augustus-gene-1.148&CDS=1-1395	K00965_R00955_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_9_length_418354_cov_23.2809_ID_17-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_9_length_418354_cov_23.2809_ID_17-processed-gene-3.124&CDS=1-1074	K01784_R00291_yHMPu5000034974_deakozyma_indianensis
maker-NODE_12_length_398490_cov_23.3519_ID_23-snap-gene-1.46-mRNA-1_1&gene=maker-NODE_12_length_398490_cov_23.3519_ID_23-snap-gene-1.46&CDS=1-2031	K03781_R00009_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_5_length_572190_cov_23.7656_ID_9-processed-gene-2.76&CDS=1-1134	K00121_R06983_yHMPu5000034974_deakozyma_indianensis
genemark-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_3_length_734043_cov_24.8_ID_5-processed-gene-0.45&CDS=1-846	K01070_R00527_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_24_length_197201_cov_29.2507_ID_47-processed-gene-0.67&CDS=1-1212	K00122_R00519_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1396749_cov_23.5698_ID_1-processed-gene-7.108&CDS=1-876	YALI0F01650p_MNXR121148_yHMPu5000034974_deakozyma_indianensis
maker-NODE_1_length_1396749_cov_23.5698_ID_1-augustus-gene-9.52-mRNA-1_1&gene=maker-NODE_1_length_1396749_cov_23.5698_ID_1-augustus-gene-9.52&CDS=1-3963	YALI0F01606g_R11461_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.70&CDS=1-1533	K02575_MNXR101912_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.69&CDS=1-2610	K10534_R00794_yHMPu5000034974_deakozyma_indianensis
augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_629897_cov_23.9612_ID_7-processed-gene-1.91&CDS=1-3198	K17877_R00787_yHMPu5000034974_deakozyma_indianensis
augustus_masked-scaffold_1-processed-gene-25.233-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.233&CDS=1-1077	lad_MNXR117337_pichia_membranifaciens
snap_masked-scaffold_4-processed-gene-13.139-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.139&CDS=1-1500	K03781_R00009_pichia_membranifaciens
snap_masked-scaffold_3-processed-gene-8.25-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.25&CDS=1-1143	K00121_R06983_pichia_membranifaciens
augustus_masked-scaffold_1-processed-gene-24.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.146&CDS=1-885	K01070_R00527_pichia_membranifaciens
augustus_masked-scaffold_1-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.62&CDS=1-2652	YALI0F01606g_R11461_pichia_membranifaciens
maker-NODE_59_length_67375_cov_28.3995_ID_38366-snap-gene-0.28-mRNA-1_1&gene=maker-NODE_59_length_67375_cov_28.3995_ID_38366-snap-gene-0.28&CDS=1-2949	lad_MNXR117337_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.52&CDS=1-1563	K00849_R01092_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.64&CDS=1-1119	K00965_R00955_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_87_length_44729_cov_23.4724_ID_21885-processed-gene-0.66&CDS=1-2046	K01784_R00291_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_122_length_30691_cov_15.0241_ID_22089-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_122_length_30691_cov_15.0241_ID_22089-processed-gene-0.32&CDS=1-1455	K03781_R00009_yHMPu5000035318_hyphopichia_heimii
maker-NODE_6_length_253678_cov_16.585_ID_18500-snap-gene-1.179-mRNA-1_1&gene=maker-NODE_6_length_253678_cov_16.585_ID_18500-snap-gene-1.179&CDS=1-1140	K00121_R06983_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-0.92&CDS=1-879	K01070_R00527_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.90&CDS=1-1137	K00122_R00519_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.76&CDS=1-963	K18338_R03772_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.37&CDS=1-1263	K12661_R03774_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_39_length_104675_cov_24.4927_ID_26108-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_39_length_104675_cov_24.4927_ID_26108-processed-gene-0.133&CDS=1-1599	inu_MNXR115392_yHMPu5000035318_hyphopichia_heimii
maker-NODE_79_length_49620_cov_15.9016_ID_21975-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_79_length_49620_cov_15.9016_ID_21975-snap-gene-0.0&CDS=1-3576	YALI0F01650p_MNXR121148_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.38&CDS=1-1803	YALI0F01606g_R11461_yHMPu5000035318_hyphopichia_heimii
snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.45&CDS=1-474	K21911_R11333_yHMPu5000035318_hyphopichia_heimii
snap_masked-LANO0D-processed-gene-10.124-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.124&CDS=1-1062	lad_MNXR117337_lachancea_nothofagi
snap_masked-LANO0C-processed-gene-9.182-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-9.182&CDS=1-1536	K00849_R01092_lachancea_nothofagi
snap_masked-LANO0A-processed-gene-6.199-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.199&CDS=1-1536	K00849_R01092_lachancea_nothofagi
snap_masked-LANO0H-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-0.0&CDS=1-1347	K00849_R01092_lachancea_nothofagi
snap_masked-LANO0A-processed-gene-6.165-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.165&CDS=1-1092	K00965_R00955_lachancea_nothofagi
snap_masked-LANO0A-processed-gene-6.166-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.166&CDS=1-2064	K01784_R00291_lachancea_nothofagi
maker-LANO0C-snap-gene-9.117-mRNA-1_1&gene=maker-LANO0C-snap-gene-9.117&CDS=1-1983	K01784_R00291_lachancea_nothofagi
snap_masked-LANO0E-processed-gene-9.72-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-9.72&CDS=1-1536	K03781_R00009_lachancea_nothofagi
augustus_masked-LANO0E-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-LANO0E-processed-gene-1.99&CDS=1-1143	K00121_R06983_lachancea_nothofagi
augustus_masked-LANO0H-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-1.152&CDS=1-2136	K01070_R00527_lachancea_nothofagi
snap_masked-LANO0F-processed-gene-14.80-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-14.80&CDS=1-1722	inu_MNXR115392_lachancea_nothofagi
snap_masked-LANO0H-processed-gene-22.193-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-22.193&CDS=1-861	YALI0F01650p_MNXR121148_lachancea_nothofagi
snap_masked-LANO0G-processed-gene-12.82-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-12.82&CDS=1-1755	YALI0F01606g_R11461_lachancea_nothofagi
augustus_masked-haw-_s558-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-haw-_s558-processed-gene-0.21&CDS=1-1533	K00849_R01092_metschnikowia_hawaiiensis
snap_masked-haw-_s558-processed-gene-0.43-mRNA-1_1&gene=snap_masked-haw-_s558-processed-gene-0.43&CDS=1-1134	K00965_R00955_metschnikowia_hawaiiensis
snap_masked-haw-_s558-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s558-processed-gene-0.41&CDS=1-2091	K01784_R00291_metschnikowia_hawaiiensis
snap_masked-haw-_s4-processed-gene-1.113-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.113&CDS=1-1452	K03781_R00009_metschnikowia_hawaiiensis
